,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
92,0.131,0.0962,139.308,0.0377,0.667,0.767,0.195,96000,-25.896,0.039,2vl0jpEViZ3gkQMmiCVU34,calm
93,0.066,0.0902,78.261,0.039,0.958,0.955,0.1,96000,-27.605,0.0346,5rAZ18w0BEU3XIkSvVesfQ,calm
94,0.0419,0.0964,65.9,0.0366,0.892,0.926,0.264,96000,-24.491,0.105,1PkYyUW957EtXNL8h7O8h1,calm
95,0.0854,0.104,72.322,0.04,0.845,0.869,0.152,96000,-26.351,0.0747,61OZSwAZFw1oBMGNBDDSxF,calm
96,0.00119,0.112,69.275,0.518,0.996,0.973,0.624,68571,-37.794,0.0,0us61DzC86dpwdtNmM5voY,calm
97,0.00489,0.106,69.818,0.089,0.996,0.973,0.65,75429,-35.817,0.648,7wrElpponSXCWj6DMSSJAL,calm
98,0.161,0.0984,129.46,0.0411,0.53,0.802,0.166,72000,-25.288,0.0773,37K65y2SNf1UMMBg4kbz2G,calm
99,0.0197,0.113,69.542,0.0771,0.993,0.935,0.443,97297,-24.241,0.359,1WZ2e2ayAmeqI5PUNgciJt,calm
0,0.128,0.12,122.199,0.0376,0.961,0.85,0.523,129493,-18.679,0.152,6s9HUUwQLIIwv3PaB28k5U,calm
1,0.696,0.129,119.999,0.0329,0.851,0.901,0.505,635000,-8.214,0.43,278h48eyiWbXhrgb5VtclT,calm
2,0.442,0.111,110.011,0.0267,0.659,0.894,0.728,329307,-13.077,0.33,6vb0X8YcTWaKWY6hl2FLLK,calm
3,0.487,0.0795,129.55,0.0362,0.413,0.81,0.389,484960,-13.267,0.0676,2MdCE51hJOh9N5Hu0IZGbO,calm
4,0.44,0.0966,129.182,0.0364,0.276,0.896,0.225,290339,-11.707,0.197,7wWNhI15N5wEjQC1d01BqT,calm
5,0.251,0.37,114.198,0.0319,0.165,0.0288,0.536,421933,-11.393,0.329,71VA8RThkp9Kr0wbhQRza3,calm
6,0.786,0.0965,125.503,0.0415,0.0127,0.932,0.229,460507,-8.634,0.233,7MoJr319KP4sO2qafiURvm,calm
7,0.638,0.154,108.156,0.0295,0.434,0.954,0.492,325333,-9.095,0.357,058ylCuWsj0Q85LWviID7u,calm
8,0.495,0.108,121.771,0.0271,0.194,0.808,0.594,333759,-11.3,0.33,3aSSM5v4X0i0R7P781cjbk,calm
9,0.262,0.0615,122.992,0.0319,0.107,0.925,0.433,296875,-17.346,0.47,5LBtU80gRMblLnpZDBKCBQ,calm
10,0.424,0.379,122.734,0.0337,0.0535,0.881,0.352,548587,-12.952,0.206,1A2VqNdoncLYrSDxRxgxZZ,calm
11,0.568,0.112,93.246,0.0341,0.555,0.378,0.244,455600,-8.112,0.306,0QCV5tCax1R7yNN6HQMQJx,calm
12,0.721,0.112,118.093,0.0354,0.238,0.519,0.318,511693,-7.68,0.18,61VgWtpg1ZVJys1pPVpciS,calm
13,0.359,0.123,63.192,0.0333,0.172,0.86,0.354,1078875,-7.689,0.0732,1Zc8dko3vYapJnJ6nBH7tt,calm
14,0.426,0.0718,62.451,0.0269,0.307,0.831,0.356,1216922,-11.197,0.409,6oLrv7D89lTEofMck6juDv,calm
15,0.334,0.118,103.017,0.0376,0.00356,0.81,0.564,158893,-10.312,0.0391,7BSZgh9qmNyIqbkGHQzuTy,calm
16,0.478,0.28,124.796,0.0284,0.717,0.713,0.493,560840,-8.133,0.101,5huCa8exUevRP4VW9yaFCy,calm
17,0.0825,0.125,107.664,0.137,0.00638,0.801,0.234,1248752,-9.302,0.0387,4mR0UW4OZAkBkkcOTw49Ix,calm
18,0.408,0.101,76.02,0.0295,0.00533,0.836,0.657,222681,-8.401,0.357,3FfIPZl02Le17YtcgATXmA,calm
19,0.001,0.0926,175.681,0.0319,0.0041,0.861,0.268,1443280,-8.151,0.692,4EGKtxP8frR9b3VlUUsgYj,calm
20,0.521,0.112,144.294,0.0335,0.457,0.694,0.344,491227,-8.552,0.116,2IWZcXsFTM5E7Si9ZAnYuk,calm
21,0.451,0.109,137.66,0.0635,0.841,0.929,0.69,199104,-11.872,0.877,1NL0JUs4xMzZwh5vrEJnPG,calm
22,0.582,0.122,115.029,0.0278,0.229,0.848,0.614,308998,-7.676,0.36,0RfoeJLvPM3yGBs2jhMxkO,calm
23,0.308,0.0948,135.963,0.0319,0.885,0.892,0.511,155313,-15.74,0.0798,2tWw3m1Hj1mCFoZKQmAwul,calm
24,0.576,0.096,155.214,0.0349,0.0197,0.526,0.26,487639,-8.789,0.388,24nzNJqqphaHKU2CfwomRp,calm
25,0.464,0.132,101.32,0.0288,0.00918,0.332,0.252,394893,-10.34,0.155,2fk2gnHDjUELw7czKF7oj6,calm
26,0.238,0.138,118.183,0.0313,0.743,0.821,0.446,442480,-14.681,0.19,2TwqLvoeHpWipZn9weYv82,calm
27,0.312,0.115,131.987,0.0291,0.23,0.828,0.464,393453,-13.511,0.0606,7iEocSBISqDeuKSMUdYehz,calm
28,0.338,0.107,87.598,0.0539,0.793,0.872,0.379,465551,-20.472,0.249,74qWBQQvUg8UBZs47A5ju4,calm
29,0.439,0.0727,149.929,0.0288,0.422,0.845,0.436,134707,-10.241,0.204,4jtD1uTTYq35r56erCd469,calm
30,0.295,0.116,179.135,0.0587,0.0143,0.781,0.288,154288,-12.17,0.058,4XI9wQ7QCixGiT6WOwVATE,calm
31,0.48,0.189,80.016,0.0325,0.4,0.894,0.23,289320,-11.174,0.26,3YbSgc9hztTSyQoQK7TRe2,calm
32,0.32,0.105,130.077,0.0596,0.955,0.941,0.734,202000,-12.276,0.0684,3WBzo0Tmxkfa0QxtVC9ak8,calm
